geonameid,name,lat,long
unknown,ANAHEIM,33.83529,-117.9145
unknown,IMPERIAL,32.84755,-115.56944
unknown,MENIFEE,33.72835,-117.1464
unknown,MURRIETA,33.55391,-117.21392
unknown,PALA,33.3652,-117.0765
unknown,SAN BERNARDINO,34.10834,-117.28977
unknown,SAN DIMAS,34.10668,-117.80673
unknown,SAN LUIS REY,33.23255345,-117.3143516
unknown,SAN YSIDRO,32.5556,-117.047
unknown,SANTA CLARITA,34.39166,-118.54259
unknown,TEMECULA,33.49364,-117.14836
unknown,UNINCORPORATED AREA-SAN DIEGO COUNTY,33.03179806,-116.3132654
unknown,UNIVERSAL CITY,34.1389,-118.35341